sl_no,constituency_name,district_name,winning_candidate,sex,age,party,constituency_type,total_electors,valid_votes,candidate_votes,turnout,candidate_vote_share,winning_margin
1,NIPPANI,BELGAUM,JOLLE SHASHIKALA ANNASAHEB,F,43,BJP,General,189696,152690,81860,80.49,53.61,12.22
2,CHIKKODI-SADALGA,BELGAUM,PRAKASH BABANNA HUKKERI,M,66,INC,General,187308,149375,102237,79.75,68.44,51.27
3,ATHANI,BELGAUM,LAXMAN SANGAPPA SAVADI,M,53,BJP,General,186167,146290,74299,78.58,50.79,16.25
4,KAGWAD,BELGAUM,BHARAMGOUD ALAGOUD KAGE,M,55,BJP,General,164201,129200,41784,78.68,32.34,2.23
5,KUDACHI,BELGAUM,P.RAJEEV,M,35,BSRCP,SC,147941,115375,71057,77.99,61.59,40.07
6,RAYBAG,BELGAUM,AIHOLE DURYODHAN MAHALINGAPPA,M,55,BJP,SC,162583,122106,37535,75.1,30.74,0.68
7,HUKKERI,BELGAUM,UMESH VISHWANATH KATTI,M,52,BJP,General,175565,132961,81810,75.73,61.53,43.11
8,ARABHAVI,BELGAUM,BALACHANDRA LAXMANRAO JARKIHOLI,M,47,BJP,General,196454,145099,99283,73.86,68.42,51.84
9,GOKAK,BELGAUM,JARKIHOLI RAMESH LAXMANRAO,M,52,INC,General,202371,144327,79175,71.32,54.86,19.4
10,YEMKANMARDI,BELGAUM,SATISH LAXMANARAO JARAKIHOLI,M,50,INC,ST,162258,124560,70726,76.77,56.78,19.55
11,BELGAUM UTTAR,BELGAUM,FAIROZ NURUDDIN SAITH,M,61,INC,General,193980,115183,45125,59.38,39.18,15.81
12,BELGAUM DAKSHIN,BELGAUM,SAMBHAJI LAKSHMAN PATIL,M,62,IND,General,202238,131946,54426,65.24,41.25,4.78
13,BELGAUM RURAL,BELGAUM,SANJAY B PATIL,M,44,BJP,General,205568,152059,38322,73.97,25.2,0.88
14,KHANAPUR,BELGAUM,ARVIND CHANDRAKANT PATIL,M,45,IND,General,185379,134890,37055,72.76,27.47,11.97
15,KITTUR,BELGAUM,INAMADAR DANAPPAGOUDA BASANAGOUDA,M,64,INC,General,166696,125970,53924,75.57,42.81,14.52
16,BAILHONGAL,BELGAUM,DR|| VISHWANATH IRANAGOUDA PATIL,M,48,KJP,General,163270,126797,40709,77.66,32.11,2.86
17,SAUNDATTI YELLAMMA,BELGAUM,ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI,M,46,BJP,General,168709,133145,46434,78.92,34.87,12.05
18,RAMDURG,BELGAUM,ASHOK MAHADEVAPPA PATTAN,M,58,INC,General,172341,129132,42310,74.93,32.76,3.86
19,MUDHOL,BAGALKOT,GOVIND.M.KARJOL,M,62,BJP,SC,166358,129099,64727,77.6,50.14,4.01
20,TERDAL,BAGALKOT,UMASHREE,F,55,INC,General,192780,151562,70189,78.62,46.31,1.71
21,JAMKHANDI,BAGALKOT,SIDDU B. NYAMAGOUDA,M,63,INC,General,176718,131750,49145,74.55,37.3,16.05
22,BILGI,BAGALKOT,J . T. PATIL,M,63,INC,General,190466,149179,66655,78.32,44.68,7.53
23,BADAMI,BAGALKOT,CHIMMANAKATTI BALAPPA BHIMAPPA,M,62,INC,General,196662,139071,57446,70.72,41.31,10.87
24,BAGALKOT,BAGALKOT,METI HULLAPPA YAMANAPPA,M,68,INC,General,201375,139966,68216,69.51,48.74,2.07
25,HUNGUND,BAGALKOT,KASHAPPANAVAR VIJAYANAND SHIVASHANKRAPPA,M,41,INC,General,191972,137024,72720,71.38,53.07,11.53
26,MUDDEBIHAL,BIJAPUR,APPAJI URF CHANNABASAVARAJ SHANKARAO NADAGOUD,M,55,INC,General,174207,114726,34747,65.86,30.29,10.64
27,DEVAR HIPPARGI,BIJAPUR,AMINAPPAGOUDA SANGANAGOUDA PATIL,M,44,INC,General,178141,115245,36231,64.69,31.44,7.03
28,BASAVANA BAGEVADI,BIJAPUR,SHIVANAND S PATIL,M,53,INC,General,175846,126819,56329,72.12,44.42,15.52
29,BABALESHWAR,BIJAPUR,M.B.PATIL,M,49,INC,General,184083,134348,62061,72.98,46.19,3.24
30,BIJAPUR CITY,BIJAPUR,MAKBUL S BAGAWAN,M,44,INC,General,211756,119021,48615,56.21,40.85,7.88
31,NAGTHAN,BIJAPUR,RAJU ALAGUR,M,52,INC,SC,225624,140024,45570,62.06,32.54,0.48
